iter	MAE
0	107.995825
1	105.8503103
2	103.7342931
3	101.7836645
4	99.99241049
5	98.1439373
6	96.35040663
7	94.70022156
8	93.12586533
9	91.532663
10	90.02497345
11	88.59022235
12	87.33399406
13	85.94082819
14	84.66404699
15	83.47456378
16	82.55848899
17	81.56844547
18	80.39980331
19	79.23388422
20	78.06762753
21	77.12579867
22	76.22696997
23	75.28996029
24	74.35082697
25	73.41331267
26	72.46706921
27	71.63094032
28	70.7907081
29	70.09994018
30	69.3001437
31	68.6083839
32	67.89474775
33	67.28651224
34	66.6621387
35	66.02217352
36	65.62173025
37	64.97409865
38	64.39561776
39	63.85001661
40	63.31970172
41	62.94246586
42	62.35575106
43	61.87557888
44	61.49176013
45	61.06715502
46	60.58927114
47	60.14805073
48	59.91474973
49	59.50036514
50	59.07796868
51	58.70971087
52	58.33583102
53	58.02735398
54	57.64301932
55	57.44228478
56	57.01538752
57	56.70151537
58	56.419503
59	56.18803993
60	55.90301493
61	55.6106347
62	55.31889933
63	55.1013337
64	54.83956311
65	54.57161626
66	54.49857867
67	54.32856042
68	54.19624614
69	53.97722263
70	53.77411422
71	53.55482445
72	53.43653412
73	53.17479647
74	53.02391754
75	52.83858965
76	52.75592004
77	52.54050657
78	52.34217622
79	52.17747724
80	51.98157466
81	51.80225685
82	51.67815318
83	51.52212307
84	51.4676714
85	51.35240197
86	51.14275211
87	50.98040547
88	50.81005095
89	50.60297584
90	50.48361362
91	50.28440007
92	50.17494229
93	50.1342817
94	50.06025184
95	49.89362589
96	49.84143718
97	49.72390298
98	49.55004482
99	49.43695492
100	49.3651061
101	49.26392059
102	49.19256537
103	49.01977814
104	48.8727743
105	48.67737021
106	48.50405957
107	48.41903648
108	48.24396264
109	48.11957025
110	48.0987372
111	47.97532175
112	47.84110284
113	47.83650961
114	47.7216394
115	47.61754455
116	47.54618363
117	47.4863206
118	47.37282115
119	47.27637009
120	47.12602137
121	46.99368993
122	46.95810752
123	46.84131141
124	46.73718247
125	46.61432043
126	46.59136484
127	46.47993098
128	46.44108091
129	46.3251706
130	46.27458073
131	46.16201996
132	46.05365259
133	45.98277382
134	45.92743212
135	45.81725152
136	45.78323316
137	45.67475273
138	45.61016606
139	45.54168344
140	45.4782024
141	45.4128193
142	45.36118892
143	45.26639548
144	45.25274495
145	45.2081262
146	45.18408948
147	45.1732871
148	45.09645928
149	45.01599777
150	44.95393654
151	44.91231118
152	44.79895973
153	44.73337029
154	44.65933037
155	44.54734496
156	44.47443669
157	44.3921239
158	44.38081822
159	44.33548718
160	44.25437302
161	44.16248895
162	44.09063728
163	44.02697406
164	44.00337484
165	43.92855739
166	43.91794578
167	43.83399783
168	43.79867772
169	43.6886317
170	43.66606922
171	43.66286587
172	43.63286496
173	43.56033896
174	43.55541528
175	43.46333247
176	43.41063691
177	43.28399963
178	43.26289496
179	43.22938577
180	43.21738176
181	43.12953416
182	43.12732354
183	43.12461024
184	43.06468269
185	42.98582191
186	42.93792969
187	42.93589836
188	42.84359995
189	42.79272403
190	42.79195652
191	42.7643421
192	42.70706347
193	42.68443355
194	42.68099589
195	42.5819246
196	42.47637993
197	42.41918474
198	42.40227931
199	42.30599095
200	42.27364162
201	42.15020426
202	42.14531446
203	42.10793562
204	42.05082471
205	41.9990397
206	41.96951414
207	41.93902322
208	41.92240545
209	41.8941798
210	41.82725621
211	41.7851147
212	41.67656867
213	41.65448356
214	41.62849361
215	41.56039959
216	41.50624729
217	41.47410192
218	41.42334965
219	41.31730439
220	41.25535762
221	41.17906935
222	41.12108898
223	41.08946702
224	41.04383944
225	40.94497787
226	40.90679018
227	40.87293736
228	40.7702891
229	40.76978539
230	40.71574051
231	40.64041628
232	40.60258736
233	40.57671332
234	40.52363186
235	40.45568547
236	40.38337895
237	40.34021381
238	40.33836633
239	40.26446102
240	40.19569475
241	40.17508011
242	40.16444076
243	40.14114289
244	40.05366854
245	39.9811122
246	39.91919592
247	39.88421924
248	39.83438587
249	39.79555062
250	39.71728624
251	39.67702353
252	39.65308237
253	39.63269986
254	39.60271221
255	39.47591085
256	39.41199369
257	39.33950354
258	39.25067598
259	39.22858802
260	39.17169263
261	39.12588531
262	39.08834405
263	39.01296982
264	38.98792709
265	38.90564028
266	38.88085052
267	38.8306596
268	38.79032759
269	38.73313823
270	38.67457033
271	38.60671537
272	38.51663287
273	38.42134874
274	38.34945934
275	38.25502613
276	38.17832246
277	38.09273918
278	38.0491166
279	37.95516556
280	37.89909611
281	37.86361544
282	37.78812618
283	37.70928641
284	37.6494509
285	37.61362828
286	37.55974052
287	37.52723032
288	37.47568686
289	37.43489268
290	37.37712674
291	37.28853048
292	37.18743275
293	37.11893506
294	37.05829684
295	36.98167612
296	36.91053539
297	36.84455802
298	36.82759047
299	36.76640505
300	36.67814203
301	36.61678634
302	36.58189375
303	36.49105883
304	36.4477783
305	36.39504315
306	36.35247471
307	36.29834607
308	36.24276816
309	36.16910683
310	36.09249558
311	36.06222227
312	36.00254765
313	35.96322086
314	35.947447
315	35.88050664
316	35.85583421
317	35.81552906
318	35.78443951
319	35.72801719
320	35.62877361
321	35.58340804
322	35.52122937
323	35.45679965
324	35.42173563
325	35.36962301
326	35.3149566
327	35.29588479
328	35.24924693
329	35.2165322
330	35.1567106
331	35.08993982
332	35.05013476
333	35.00927715
334	34.93498547
335	34.87599424
336	34.85087238
337	34.78574683
338	34.72342307
339	34.67921555
340	34.65220824
341	34.59788929
342	34.55033425
343	34.50188074
344	34.42457194
345	34.37815422
346	34.34223721
347	34.25662551
348	34.16814917
349	34.14871396
350	34.07009543
351	34.04319448
352	33.98331413
353	33.92075297
354	33.88619423
355	33.84904309
356	33.8411547
357	33.79991613
358	33.73857207
359	33.7050597
360	33.64784242
361	33.58334626
362	33.55193046
363	33.53097032
364	33.50239025
365	33.45674833
366	33.41363436
367	33.38720132
368	33.34329008
369	33.28659142
370	33.2531166
371	33.21607838
372	33.18809188
373	33.13693749
374	33.10394544
375	33.08560365
376	32.96715693
377	32.94532782
378	32.90799607
379	32.8617197
380	32.85084298
381	32.81645473
382	32.76779654
383	32.73030183
384	32.67205527
385	32.62813726
386	32.5608843
387	32.5197272
388	32.48312559
389	32.45131136
390	32.40063726
391	32.38177341
392	32.34791058
393	32.32547313
394	32.2839371
395	32.25931915
396	32.19017449
397	32.1765273
398	32.13031588
399	32.10810249
400	32.05300003
401	32.02470172
402	31.99174073
403	31.96610622
404	31.93760426
405	31.92359809
406	31.88285095
407	31.86024632
408	31.8363612
409	31.79665942
410	31.73375064
411	31.71098198
412	31.66841759
413	31.6339597
414	31.5965895
415	31.53062867
416	31.48865531
417	31.45092253
418	31.4146536
419	31.38905752
420	31.34056197
421	31.31089224
422	31.24747226
423	31.20651493
424	31.18297413
425	31.1382904
426	31.10231613
427	31.08897869
428	31.05104399
429	31.01518655
430	30.98310403
431	30.93115816
432	30.89954058
433	30.85767004
434	30.82218187
435	30.77043688
436	30.74037155
437	30.69922361
438	30.66102291
439	30.63854826
440	30.624518
441	30.60479514
442	30.5992674
443	30.57600027
444	30.54592372
445	30.48649194
446	30.46987118
447	30.42879042
448	30.40341523
449	30.37677423
450	30.31964741
451	30.29525406
452	30.24260205
453	30.20852557
454	30.18758746
455	30.15739998
456	30.13249463
457	30.05927862
458	30.01191667
459	29.98547477
460	29.94980009
461	29.9052942
462	29.88132888
463	29.85705389
464	29.83525535
465	29.79564978
466	29.77392672
467	29.75372595
468	29.74253409
469	29.72585593
470	29.71246463
471	29.695715
472	29.66204525
473	29.60209122
474	29.58336397
475	29.57861232
476	29.55664276
477	29.49111861
478	29.46428358
479	29.43885252
480	29.39479282
481	29.37072293
482	29.33019537
483	29.3193843
484	29.28654748
485	29.25798417
486	29.24900063
487	29.19150987
488	29.18175824
489	29.13609898
490	29.10143146
491	29.07486344
492	29.04325311
493	29.02822027
494	28.99021292
495	28.95993621
496	28.90263724
497	28.87529588
498	28.84399538
499	28.82595114
500	28.81752223
501	28.77091255
502	28.73284452
503	28.71114166
504	28.67708504
505	28.64636339
506	28.61551854
507	28.59341479
508	28.5796652
509	28.53797376
510	28.50921201
511	28.48912487
512	28.47594228
513	28.44129064
514	28.41870399
515	28.39420753
516	28.34823158
517	28.31681396
518	28.29380218
519	28.27611735
520	28.25518195
521	28.24066123
522	28.23064864
523	28.20343194
524	28.16864701
525	28.15669408
526	28.13554092
527	28.11139256
528	28.09258234
529	28.05247893
530	28.02922764
531	28.01730508
532	27.97217465
533	27.91386811
534	27.86602253
535	27.85063508
536	27.84225497
537	27.82506222
538	27.79119733
539	27.7753457
540	27.73561021
541	27.70893473
542	27.69259581
543	27.66937617
544	27.62152488
545	27.58534646
546	27.55800659
547	27.48626471
548	27.44266646
549	27.41752991
550	27.40373646
551	27.36006546
552	27.34974972
553	27.33429708
554	27.32104886
555	27.28746639
556	27.27202216
557	27.23946128
558	27.20395541
559	27.19043328
560	27.15176838
561	27.13887046
562	27.13143172
563	27.1028535
564	27.07773478
565	27.06488076
566	27.03704179
567	27.01113014
568	26.97954317
569	26.94326779
570	26.93683062
571	26.89794283
572	26.85157621
573	26.82974213
574	26.78902043
575	26.74458132
576	26.73767202
577	26.71633676
578	26.70312745
579	26.68787554
580	26.68006224
581	26.66907118
582	26.63557092
583	26.58923662
584	26.5697468
585	26.55141666
586	26.52319468
587	26.49608718
588	26.47948358
589	26.45895511
590	26.44174385
591	26.42050258
592	26.40521224
593	26.38794657
594	26.35895691
595	26.33616655
596	26.31631542
597	26.2431048
598	26.20980764
599	26.18926106
600	26.15967245
601	26.15410689
602	26.13217412
603	26.11602127
604	26.09990626
605	26.08028967
606	26.07317844
607	26.04929162
608	26.03805398
609	26.0174566
610	26.00855773
611	25.97466574
612	25.95245898
613	25.9380774
614	25.91097649
615	25.8733965
616	25.84448063
617	25.82419485
618	25.79839303
