iter	Passed	Remaining
0	5	7678
1	10	7587
2	16	8071
3	21	8157
4	27	8238
5	30	7640
6	34	7445
7	38	7192
8	42	7078
9	45	6796
10	49	6673
11	52	6570
12	55	6352
13	59	6317
14	63	6313
15	68	6318
16	70	6122
17	72	5974
18	76	5935
19	79	5894
20	83	5884
21	87	5867
22	91	5848
23	94	5804
24	97	5776
25	101	5750
26	104	5724
27	108	5695
28	112	5695
29	115	5655
30	119	5659
31	123	5658
32	126	5640
33	130	5636
34	133	5606
35	137	5607
36	140	5537
37	143	5539
38	147	5521
39	150	5495
40	154	5482
41	156	5433
42	159	5418
43	163	5400
44	166	5386
45	170	5374
46	173	5366
47	176	5337
48	177	5266
49	180	5242
50	184	5230
51	187	5224
52	191	5215
53	194	5201
54	197	5198
55	200	5177
56	205	5197
57	209	5203
58	212	5192
59	216	5202
60	220	5196
61	224	5213
62	227	5196
63	231	5198
64	235	5195
65	238	5183
66	239	5123
67	242	5113
68	244	5075
69	248	5068
70	252	5077
71	257	5113
72	263	5154
73	268	5173
74	276	5246
75	282	5290
76	284	5258
77	288	5263
78	292	5267
79	298	5291
80	303	5312
81	307	5315
82	311	5316
83	316	5337
84	317	5284
85	321	5287
86	325	5281
87	328	5268
88	332	5269
89	336	5267
90	339	5258
91	343	5261
92	347	5259
93	348	5217
94	350	5186
95	355	5193
96	358	5181
97	363	5193
98	367	5199
99	370	5190
100	374	5188
101	377	5179
102	382	5193
103	386	5193
104	390	5186
105	393	5181
106	398	5188
107	401	5179
108	405	5178
109	409	5170
110	410	5135
111	414	5140
112	418	5141
113	419	5105
114	422	5092
115	426	5087
116	429	5080
117	434	5084
118	437	5080
119	441	5073
120	444	5070
121	449	5072
122	450	5042
123	453	5034
124	457	5037
125	461	5034
126	463	5013
127	467	5008
128	471	5009
129	475	5009
130	477	4993
131	480	4981
132	484	4981
133	489	4986
134	493	4990
135	497	4987
136	499	4967
137	503	4964
138	506	4962
139	510	4956
140	513	4950
141	517	4948
142	521	4944
143	524	4940
144	525	4914
145	529	4909
146	533	4911
147	534	4884
148	538	4882
149	543	4887
150	547	4888
151	550	4882
152	554	4885
153	559	4887
154	562	4883
155	566	4882
156	570	4881
157	575	4884
158	576	4863
159	580	4859
160	586	4881
161	590	4878
162	594	4876
163	598	4879
164	605	4902
165	611	4913
166	612	4891
167	618	4900
168	623	4910
